group ,scoreO,scoreS,scoreP,NumSeats,ShareSeats,diffO,diffS,diffP
The Left,5.34,7.09,3.71,39,5.5,-0.2,1.6,-1.8
S&D,22.9,19.88,25.71,146,20.7,2.2,-0.8,5.0
Greens/EFA,11.72,14.41,9.2,73,10.4,1.4,4.1,-1.2
Renew,16.53,17.17,15.93,98,13.9,2.6,3.3,2.0
EPP,28.48,25.33,31.44,179,25.4,3.1,-0.1,6.0
ECR,6.69,7,6.41,63,8.9,-2.2,-1.9,-2.5
ID,5.69,7.09,4.39,70,9.9,-4.2,-2.8,-5.5
NI,2.64,2.03,3.21,37,5.2,-2.6,-3.2,-2.0
