group ,scoreO,scoreS,scoreP,NumSeats,ShareSeats,diffO,diffS,diffP
The Left,7,8.3,5.3,39,5.5,1.5,2.8,-0.2
S&D,23.08,19.55,27.71,146,20.7,2.4,-1.2,7.0
Greens/EFA,14.84,17.69,11.12,73,10.4,4.5,7.3,0.8
Renew,16.44,16.05,16.96,98,13.9,2.5,2.1,3.1
EPP,21.68,19.99,23.88,179,25.4,-3.7,-5.4,-1.5
ECR,6.8,6.95,6.6,63,8.9,-2.1,-2.0,-2.3
ID,7.78,9.75,5.22,70,9.9,-2.1,-0.2,-4.7
NI,2.38,1.74,3.22,37,5.2,-2.9,-3.5,-2.0
