group,scoreO,scoreS,scoreP,NumSeats,ShareSeats,diffO,diffS,diffP
The Left,6.6,8.1,4.6,39,5.5,1.1,2.5,-0.9
S&D,21.5,18.7,25.5,146,20.7,0.8,-2.0,4.8
Greens/EFA,14.5,17.3,10.6,73,10.4,4.1,6.9,0.2
Renew,17.2,16.8,17.7,98,13.9,3.3,2.9,3.8
EPP,23.9,21.8,26.8,179,25.4,-1.5,-3.6,1.4
ECR,7.1,6.9,7.5,63,8.9,-1.8,-2.1,-1.5
ID,7.1,8.5,5.1,70,9.9,-2.8,-1.4,-4.8
NI,2.1,2.0,2.3,37,5.2,-3.1,-3.2,-3.0
