group ,scoreO,scoreS,scoreP,NumSeats,ShareSeats,diffO,diffS,diffP
The Left,7.3,8.8,5.2,39,5.5,1.8,3.3,-0.4
S&D,23.0,19.2,28.4,146,20.7,2.3,-1.5,7.7
Greens/EFA,12.8,14.5,10.3,73,10.4,2.5,4.2,0.0
Renew,16.1,15.5,17.0,98,13.9,2.2,1.6,3.0
EPP,23.3,22.5,24.4,179,25.4,-2.1,-2.9,-1.0
ECR,6.5,6.5,6.5,63,8.9,-2.5,-2.5,-2.5
ID,7.9,9.9,4.9,70,9.9,-2.0,0.0,-5.0
NI,3.2,3.0,3.4,37,5.2,-2.1,-2.2,-1.9
