group,scoreO,scoreS,scoreP,NumSeats,ShareSeats,diffO,diffS,diffP
The Left,5.83,7.66,2.89,39,5.5,0.3,2.1,-2.6
S&D,20.47,17.94,24.52,146,20.7,-0.2,-2.8,3.8
Greens/EFA,12.19,14.73,8.11,73,10.4,1.8,4.4,-2.2
Renew,16.85,16.37,17.63,98,13.9,2.9,2.5,3.7
EPP,26.67,23.29,32.1,179,25.4,1.3,-2.1,6.7
ECR,7.7,7.77,7.57,63,8.9,-1.2,-1.2,-1.4
ID,7.56,9.68,4.16,70,9.9,-2.4,-0.2,-5.8
NI,2.73,2.55,3,37,5.2,-2.5,-2.7,-2.2
