"name","political","social","overall","age","gender"
"MEP",27.91,72.49,50.2,52,"Female"
"MEP",26.98,71.68,49.33,49,"Male"
"MEP",25.12,73.51,49.31,34,"Female"
"MEP",40,58.56,49.28,54,"Female"
"MEP",40.47,57.95,49.21,58,"Female"
"MEP",27.44,70.71,49.08,51,"Male"
"MEP",26.98,71.12,49.05,42,"Male"
"MEP",36.74,61.2,48.97,51,"Female"
"MEP",39.07,58.86,48.97,56,"Female"
"MEP",24.65,72.9,48.77,75,"Male"
"MEP",22.79,74.73,48.76,69,"Male"
"MEP",41.86,55.51,48.68,38,"Female"
"MEP",13.49,82.92,48.2,63,"Male"
"MEP",13.95,82.36,48.15,51,"Female"
"MEP",14.42,81.75,48.08,60,"Male"
"MEP",17.21,78.59,47.9,41,"Male"
"MEP",13.95,81.59,47.77,55,"Male"
"MEP",20.47,75.03,47.75,23,"Female"
"MEP",35.35,60.08,47.72,54,"Male"
"MEP",25.81,69.59,47.7,72,"Female"
"MEP",53.02,42.39,47.7,60,"Male"
"MEP",14.42,80.93,47.68,38,"Male"
"MEP",33.49,61.86,47.68,31,"Female"
"MEP",24.65,70.51,47.58,50,"Female"
"MEP",34.42,60.54,47.48,47,"Female"
"MEP",27.44,67.51,47.47,58,"Male"
"MEP",41.86,52.92,47.39,54,"Female"
"MEP",23.26,70.97,47.11,34,"Female"
"MEP",40.93,53.22,47.08,65,"Male"
"MEP",31.16,62.83,47,61,"Male"
"MEP",29.3,64.66,46.98,50,"Female"
"MEP",34.88,59.02,46.95,45,"Female"
"MEP",22.33,71.53,46.93,46,"Male"
"MEP",21.86,71.78,46.82,73,"Female"
"MEP",34.88,58.71,46.8,52,"Male"
"MEP",30.7,62.88,46.79,48,"Female"
"MEP",37.21,55.97,46.59,32,"Female"
"MEP",30.23,62.83,46.53,45,"Female"
"MEP",42.33,50.58,46.45,55,"Male"
"MEP",15.81,76.76,46.29,45,"Male"
"MEP",17.21,75.34,46.27,52,"Female"
"MEP",35.35,57.19,46.27,34,"Female"
"MEP",40.47,51.39,45.93,42,"Male"
"MEP",33.02,58.51,45.76,47,"Female"
"MEP",15.81,75.39,45.6,66,"Male"
"MEP",34.42,56.47,45.45,45,"Female"
"MEP",30.23,60.54,45.39,49,"Female"
"MEP",5.58,84.95,45.26,73,"Male"
"MEP",30.7,59.58,45.14,49,"Male"
"MEP",31.63,58.61,45.12,58,"Male"
"MEP",35.81,54.19,45,62,"Female"
"MEP",19.53,70.31,44.92,34,"Male"
"MEP",12.56,77.07,44.81,43,"Male"
"MEP",9.77,79.76,44.77,41,"Female"
"MEP",46.51,43,44.76,58,"Female"
"MEP",25.58,63.59,44.59,69,"Male"
"MEP",22.33,66.8,44.56,35,"Male"
"MEP",33.49,55.51,44.5,60,"Female"
"MEP",19.53,69.19,44.36,29,"Male"
"MEP",36.28,52.31,44.29,56,"Male"
"MEP",10.23,78.34,44.28,63,"Male"
"MEP",19.53,68.53,44.03,51,"Female"
"MEP",9.3,78.54,43.92,46,"Male"
"MEP",26.05,61.41,43.73,47,"Male"
"MEP",47.91,39.44,43.68,52,"Male"
"MEP",51.63,35.17,43.4,75,"Male"
"MEP",19.07,67.46,43.26,48,"Male"
"MEP",17.67,68.63,43.15,85,"Male"
"MEP",30.7,55.56,43.13,50,"Female"
"MEP",46.51,39.49,43,60,"Male"
"MEP",36.74,48.9,42.82,49,"Female"
"MEP",40.93,44.42,42.68,65,"Male"
"MEP",25.12,60.03,42.58,39,"Male"
"MEP",32.56,52.51,42.53,55,"Female"
"MEP",27.44,57.34,42.39,63,"Male"
"MEP",36.28,48.19,42.23,45,"Male"
"MEP",15.35,68.83,42.09,45,"Female"
"MEP",21.4,62.68,42.04,54,"Female"
"MEP",30.23,53.68,41.95,59,"Female"
"MEP",7.44,75.49,41.47,42,"Female"
"MEP",23.72,58.36,41.04,66,"Male"
"MEP",30.23,51.59,40.91,50,"Female"
"MEP",42.33,38.37,40.35,44,"Female"
"MEP",20.93,59.73,40.33,46,"Male"
"MEP",25.12,55.51,40.31,58,"Female"
"MEP",20,60.49,40.25,57,"Male"
"MEP",44.42,36.08,40.25,60,"Male"
"MEP",20,60.08,40.04,63,"Male"
"MEP",5.58,74.47,40.03,26,"Male"
"MEP",14.88,65.12,40,43,"Female"
"MEP",2.33,77.53,39.93,65,"Male"
"MEP",24.19,55.51,39.85,39,"Female"
"MEP",7.91,71.73,39.82,42,"Female"
"MEP",13.95,65.47,39.71,67,"Female"
"MEP",34.42,44.93,39.68,58,"Female"
"MEP",33.49,45.85,39.67,71,"Female"
"MEP",31.63,47.63,39.63,53,"Male"
"MEP",20.47,58.76,39.62,57,"Male"
"MEP",23.72,55.25,39.49,36,"Male"
"MEP",30.7,47.78,39.24,41,"Female"
"MEP",13.49,64.71,39.1,34,"Female"
"MEP",23.26,54.69,38.98,66,"Male"
"MEP",18.6,59.27,38.94,35,"Male"
"MEP",21.4,55.81,38.61,41,"Female"
"MEP",9.77,67.31,38.54,70,"Male"
"MEP",43.72,33.19,38.45,39,"Male"
"MEP",28.37,48.39,38.38,65,"Female"
"MEP",31.16,45.39,38.27,56,"Male"
"MEP",16.28,60.24,38.26,55,"Male"
"MEP",39.07,37.31,38.19,60,"Male"
"MEP",39.07,36.64,37.86,63,"Male"
"MEP",16.28,59.22,37.75,56,"Male"
"MEP",33.02,42.44,37.73,53,"Female"
"MEP",32.09,43.2,37.65,58,"Female"
"MEP",29.77,45.49,37.63,52,"Male"
"MEP",23.72,50.73,37.22,54,"Female"
"MEP",20.47,53.78,37.12,71,"Female"
"MEP",32.09,42.08,37.09,58,"Male"
"MEP",66.98,7.08,37.03,58,"Male"
"MEP",15.81,58.05,36.93,45,"Male"
"MEP",32.09,41.78,36.93,55,"Male"
"MEP",18.14,55.56,36.85,64,"Male"
"MEP",26.05,47.47,36.76,35,"Female"
"MEP",26.51,47.02,36.76,58,"Female"
"MEP",27.91,45.54,36.73,37,"Female"
"MEP",49.77,23.63,36.7,41,"Male"
"MEP",12.33,60.9,36.61,52,"Male"
"MEP",40.47,32.22,36.35,48,"Male"
"MEP",19.53,53.07,36.3,37,"Male"
"MEP",24.19,48.39,36.29,48,"Male"
"MEP",29.77,42.75,36.26,48,"Male"
"MEP",32.09,40.25,36.17,49,"Female"
"MEP",28.84,43.46,36.15,40,"Male"
"MEP",22.79,49.15,35.97,68,"Male"
"MEP",18.6,53.32,35.96,58,"Male"
"MEP",16.28,55.56,35.92,53,"Female"
"MEP",29.3,42.54,35.92,52,"Male"
"MEP",17.67,53.73,35.7,45,"Male"
"MEP",19.53,51.85,35.69,37,"Female"
"MEP",35.81,35.37,35.59,58,"Male"
"MEP",11.16,59.47,35.32,65,"Male"
"MEP",36.74,33.64,35.19,45,"Female"
"MEP",21.86,48.39,35.12,51,"Female"
"MEP",35.35,34.81,35.08,28,"Female"
"MEP",17.67,52.46,35.06,60,"Female"
"MEP",38.14,31.81,34.98,56,"Male"
"MEP",24.19,45.75,34.97,51,"Male"
"MEP",33.49,36.44,34.97,61,"Male"
"MEP",33.49,36.03,34.76,59,"Male"
"MEP",26.51,42.95,34.73,49,"Male"
"MEP",46.51,22.46,34.48,51,"Male"
"MEP",35.81,32.98,34.4,41,"Male"
"MEP",28.84,39.85,34.34,35,"Female"
"MEP",34.77,33.9,34.33,65,"Male"
"MEP",16.28,52.31,34.29,42,"Female"
"MEP",36.28,32.27,34.28,49,"Female"
"MEP",2.33,66.19,34.26,38,"Male"
"MEP",50.7,17.63,34.16,58,"Male"
"MEP",40.93,27.29,34.11,42,"Male"
"MEP",33.02,35.07,34.04,47,"Male"
"MEP",26.98,40.97,33.97,74,"Male"
"MEP",39.07,28.86,33.97,42,"Male"
"MEP",19.53,47.88,33.71,36,"Male"
"MEP",19.53,47.83,33.68,42,"Male"
"MEP",14.88,52.36,33.62,57,"Male"
"MEP",27.91,39.19,33.55,46,"Male"
"MEP",19.53,47.37,33.45,33,"Male"
"MEP",10.7,56.02,33.36,60,"Male"
"MEP",20.93,45.69,33.31,40,"Male"
"MEP",43.72,22.76,33.24,60,"Male"
"MEP",46.05,20.22,33.14,69,"Male"
"MEP",33.95,32.22,33.09,32,"Female"
"MEP",36.74,29.42,33.08,73,"Male"
"MEP",20.93,45.03,32.98,53,"Female"
"MEP",6.98,58.97,32.97,54,"Male"
"MEP",7.91,57.9,32.9,47,"Female"
"MEP",12.56,53.22,32.89,35,"Female"
"MEP",18.14,47.58,32.86,41,"Male"
"MEP",12.56,53.02,32.79,34,"Female"
"MEP",19.07,46.41,32.74,56,"Male"
"MEP",38.14,27.24,32.69,65,"Male"
"MEP",32.09,33.19,32.64,36,"Male"
"MEP",20.47,44.58,32.52,35,"Male"
"MEP",19.53,45.24,32.38,30,"Female"
"MEP",26.51,38.02,32.26,69,"Female"
"MEP",23.26,41.22,32.24,69,"Male"
"MEP",11.63,52.81,32.22,43,"Male"
"MEP",30.7,33.69,32.2,54,"Male"
"MEP",10.7,53.22,31.96,55,"Male"
"MEP",26.98,36.95,31.96,33,"Female"
"MEP",10.7,53.17,31.93,57,"Female"
"MEP",16.74,46.97,31.85,51,"Female"
"MEP",25.12,38.37,31.75,47,"Male"
"MEP",27.91,35.58,31.74,77,"Male"
"MEP",27.44,35.98,31.71,58,"Male"
